odoo_code,name,bake_line,pack_format,unit_size_oz,unit_size_lb,units_per_case,case_size_lb,default_batch_lb,cases_per_pan,is_copack
10059,Desiccated Macaroon 55 LB,UNMAPPED,UNKNOWN,,,,55,,,false
10053,Desiccated Macaroon Bakers 25 LB,UNMAPPED,25 lb box,,25,1,25,,,false
10045,Desiccated Macaroon Bakers 50 LB,UNMAPPED,50 lb bag,,50,1,50,,,false
10058,Desiccated Macaroon CNS 25 LB,UNMAPPED,25 lb box,,25,1,25,,,false
10051,Desiccated Medium Bakers 50 LB,UNMAPPED,50 lb bag,,50,1,50,,,false
10054,Desiccated Medium CNS 100 LB,UNMAPPED,UNKNOWN,,,,100,,,false
10052,Desiccated Medium CNS 25 LB,UNMAPPED,25 lb box,,25,1,25,,,false
31012,Graham Cracker Crumbs – 10 LB,Blue Stripes,10 lb box,,10,1,10,,35.00,true
70053,Granola Chocolate Chip 25 LB,—,25 lb box,,25,1,25,,,false
70057,Granola Cinnamon Almond 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70050,Granola Classic 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70059,Granola Cocoa Vibes 25 LB,Most,25 lb box,,25,1,25,,14.00,false
10300,Granola Crunchy CNS 10 LB Case,Most,10 lb box,,10,1,10,,35.00,false
70061,Granola Fruit Nut 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70060,Granola Honey Nut 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70077,Granola Setton Cinnamon Spice Almond 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70056,Granola Setton Cocoa Crunch 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70082,Granola Setton French Vanilla 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70081,Granola Setton Good Ol 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70003,Granola SS Chocolate Chip 12x10 OZ Case,—,pouch,10,,12,7.5,,,false
70070,Granola SS Chocolate Chip Low Carb 12x10 OZ Case,—,pouch,10,,12,7.5,,,false
70011,Granola SS Cranberry 12x10 OZ Case,Most,pouch,10,,12,7.5,,46.67,false
70006,Granola SS Mini 100,Most,UNKNOWN,,,,,,,false
70002,Granola SS Original 12x10 OZ Case,Most,pouch,10,,12,7.5,,46.67,false
70004,Granola SS Original Bulk per/lb,Most,UNKNOWN,,,,,,,false
70010,Granola SS Original Low Carb 12x10 OZ Case,Most,pouch,10,,12,7.5,,46.67,false
70048,Granola Vanilla Almond 25 LB,Most,25 lb box,,25,1,25,,14.00,false
70052,Granola Vanilla Crisp 25 LB (French Vanilla),Most,25 lb box,,25,1,25,,14.00,false
70012,Granola Wheat Free 25 LB,Most,25 lb box,,25,1,25,,14.00,false
10301,Kookies & Kreme – 10 LB,UNMAPPED,10 lb box,,10,1,10,,,true
10304,Kookies & Kreme – 25 LB,UNMAPPED,25 lb box,,25,1,25,,,true
25014,Real Chocolate Chips 10000ct 30 LB,—,UNKNOWN,,,,30,,,true
25013,Real Chocolate Chips 10000ct 50 LB,—,50 lb bag,,50,1,50,,,true
10303,Sprinkles Chocolate 10 LB,—,10 lb box,,10,1,10,,,true
10306,Sprinkles Chocolate 25 LB,—,25 lb box,,25,1,25,,,true
10302,Sprinkles Rainbow 10 LB,—,10 lb box,,10,1,10,,,true
10305,Sprinkles Rainbow 25 LB,—,25 lb box,,25,1,25,,,true
